year,week,vacances_zone_c,ferie,inc_varicelle,inc_diarrhee,inc_grippe,nb_ope
2014,10,0,0,1703.0,21617.0,9312.0,1696.0
2014,11,0,0,1296.0,9972.0,4999.0,1702.0
2014,12,0,0,3295.0,15476.0,5944.0,1673.0
2014,13,0,0,2303.0,13126.0,2582.0,1687.0
2014,14,0,0,1929.0,18508.0,4647.0,1844.0
2014,15,2,0,3373.0,13502.0,2854.0,1683.0
2014,16,7,0,1971.0,6587.0,692.0,1536.0
2014,17,7,1,1886.0,7026.0,162.0,1591.0
2014,18,0,1,4642.0,12928.0,788.0,1552.0
2014,19,0,1,2379.0,8472.0,0.0,1560.0
2014,20,0,0,5256.0,7519.0,112.0,1788.0
2014,21,0,0,3018.0,11299.0,56.0,1715.0
2014,22,0,1,3182.0,11995.0,0.0,1613.0
2014,23,0,0,9390.0,22279.0,0.0,1945.0
2014,24,0,1,7381.0,11773.0,0.0,2345.0
2014,25,0,0,4719.0,12940.0,0.0,1890.0
2014,26,0,0,2958.0,9847.0,2650.0,1744.0
2014,27,2,0,2458.0,8637.0,2393.0,1801.0
2014,28,7,0,2635.0,6182.0,1188.0,1569.0
2014,29,7,1,1441.0,6596.0,1357.0,1926.0
2014,30,7,0,1768.0,3587.0,1103.0,1612.0
2014,31,7,0,88.0,8538.0,3289.0,1644.0
2014,32,7,0,450.0,6724.0,0.0,1385.0
2014,33,7,1,599.0,6597.0,0.0,1188.0
2014,34,7,0,171.0,8771.0,275.0,1345.0
2014,35,7,0,780.0,9426.0,715.0,1473.0
2014,36,1,0,2494.0,8102.0,1769.0,1634.0
2014,37,0,0,0.0,16654.0,10047.0,1750.0
2014,38,0,0,0.0,11964.0,4528.0,1753.0
2014,39,0,0,0.0,14888.0,2667.0,1813.0
2014,40,0,0,244.0,12988.0,3586.0,1750.0
2014,41,0,0,2714.0,18347.0,4771.0,1799.0
2014,42,2,0,0.0,19362.0,5966.0,1801.0
2014,43,7,0,784.0,19397.0,3938.0,1495.0
2014,44,7,1,249.0,15750.0,1398.0,1618.0
2014,45,0,0,1465.0,22821.0,5834.0,1668.0
2014,46,0,1,108.0,18421.0,4533.0,1654.0
2014,47,0,0,0.0,30227.0,4941.0,1772.0
2014,48,0,0,392.0,27125.0,9491.0,1774.0
2014,49,0,0,538.0,33082.0,11655.0,1829.0
2014,50,0,0,1468.0,38083.0,12810.0,1841.0
2014,51,2,0,1201.0,38524.0,10068.0,1839.0
2014,52,7,1,2751.0,39102.0,13745.0,1632.0
2015,1,4,1,5006.0,30174.0,13181.0,1071.0
2015,2,0,0,2225.0,27727.0,25870.0,1719.0
2015,3,0,0,808.0,20292.0,36413.0,1722.0
2015,4,0,0,1581.0,26160.0,66054.0,1723.0
2015,5,0,0,3075.0,17576.0,91950.0,1805.0
2015,6,0,0,4785.0,24590.0,103790.0,1871.0
2015,7,3,0,5881.0,22006.0,97488.0,1809.0
2015,8,7,0,803.0,13731.0,54944.0,1623.0
2015,9,7,0,2520.0,17673.0,34510.0,1555.0
2015,10,0,0,2146.0,19699.0,24110.0,1732.0
2015,11,0,0,949.0,20903.0,18407.0,1640.0
2015,12,0,0,2989.0,19217.0,11941.0,1648.0
2015,13,0,0,2310.0,16458.0,10092.0,1742.0
2015,14,0,0,3989.0,15378.0,7877.0,1738.0
2015,15,0,1,2584.0,11604.0,8616.0,1790.0
2015,16,2,0,6729.0,20507.0,761.0,1830.0
2015,17,7,0,5082.0,10763.0,530.0,1555.0
2015,18,7,1,2609.0,7583.0,0.0,1547.0
2015,19,0,1,2784.0,7393.0,2258.0,1676.0
2015,20,0,1,787.0,7020.0,3025.0,1619.0
2015,21,0,0,9221.0,16102.0,1498.0,1691.0
2015,22,0,1,1507.0,14263.0,955.0,1744.0
2015,23,0,0,4020.0,9810.0,1091.0,1916.0
2015,24,0,0,6075.0,10454.0,1544.0,1911.0
2015,25,0,0,4671.0,12586.0,577.0,1786.0
2015,26,0,0,6392.0,9939.0,1761.0,1846.0
2015,27,2,0,3169.0,12322.0,983.0,2111.0
2015,28,7,0,1259.0,7648.0,532.0,1751.0
2015,29,7,1,1406.0,15025.0,859.0,1881.0
2015,30,7,0,1653.0,7982.0,1028.0,1608.0
2015,31,7,0,739.0,6896.0,476.0,1433.0
2015,32,7,0,1681.0,12643.0,0.0,1459.0
2015,33,7,1,1580.0,5300.0,0.0,1363.0
2015,34,7,0,1204.0,6434.0,0.0,1271.0
2015,35,7,0,744.0,19739.0,0.0,1597.0
2015,36,1,0,822.0,15489.0,444.0,1602.0
2015,37,0,0,876.0,14492.0,1998.0,1722.0
2015,38,0,0,3682.0,14203.0,2726.0,1692.0
2015,39,0,0,1488.0,12483.0,2103.0,1759.0
2015,40,0,0,1668.0,18178.0,3075.0,1840.0
2015,41,0,0,3022.0,18942.0,3954.0,1852.0
2015,42,2,0,2190.0,18443.0,4029.0,1747.0
2015,43,7,0,2988.0,14552.0,4680.0,1526.0
2015,44,7,1,1710.0,17086.0,3667.0,1504.0
2015,45,0,0,4406.0,24602.0,4402.0,1580.0
2015,46,0,1,1786.0,19510.0,1334.0,1564.0
2015,47,0,0,322.0,14214.0,1602.0,1657.0
2015,48,0,0,1094.0,22490.0,3975.0,1568.0
2015,49,0,0,1843.0,20138.0,4488.0,1652.0
2015,50,0,0,1775.0,22377.0,5981.0,1705.0
2015,51,2,0,941.0,21307.0,5575.0,1806.0
2015,52,7,1,1140.0,13069.0,1521.0,1602.0
2015,53,4,0,1150.0,15717.0,1363.0,
2016,1,0,0,1833.0,24943.0,11926.0,1679.0
2016,2,0,0,1780.0,26905.0,8450.0,1725.0
2016,3,0,0,3497.0,26553.0,14715.0,1699.0
2016,4,0,0,1913.0,25864.0,28163.0,1636.0
2016,5,0,0,3314.0,23277.0,39824.0,1808.0
2016,6,0,0,3145.0,25799.0,48840.0,1880.0
2016,7,2,0,4058.0,22358.0,50486.0,1731.0
2016,8,7,0,5836.0,16496.0,49872.0,1500.0
2016,9,7,0,5896.0,20182.0,40917.0,1594.0
2016,10,0,0,3982.0,23452.0,36193.0,1644.0
2016,11,0,0,4411.0,19814.0,44960.0,1676.0
2016,12,0,0,4443.0,13887.0,31145.0,1683.0
2016,13,0,1,2441.0,16365.0,21930.0,1756.0
2016,14,0,0,5461.0,17472.0,17132.0,1678.0
2016,15,2,0,6226.0,16874.0,15808.0,1539.0
2016,16,7,0,3462.0,12284.0,6969.0,1528.0
2016,17,7,1,3969.0,14010.0,4140.0,1366.0
2016,18,0,2,3273.0,14979.0,1430.0,1644.0
2016,19,0,0,4580.0,12453.0,733.0,1705.0
2016,20,0,1,6441.0,9129.0,2061.0,1705.0
2016,21,0,0,4134.0,13420.0,3601.0,1918.0
2016,22,0,0,2740.0,17918.0,3282.0,3763.0
2016,23,0,0,6608.0,10282.0,2409.0,2357.0
2016,24,0,0,3755.0,7699.0,1844.0,1816.0
2016,25,0,0,2439.0,6516.0,2868.0,1819.0
2016,26,0,0,5582.0,13814.0,4070.0,1688.0
2016,27,6,0,6573.0,10201.0,425.0,1835.0
2016,28,7,1,2412.0,7540.0,0.0,1689.0
2016,29,7,0,4241.0,6833.0,0.0,1724.0
2016,30,7,0,2359.0,4485.0,830.0,1502.0
2016,31,7,0,1016.0,4917.0,0.0,1354.0
2016,32,7,0,0.0,4299.0,100.0,1286.0
2016,33,7,1,0.0,7970.0,109.0,1400.0
2016,34,7,0,371.0,11310.0,153.0,1643.0
2016,35,3,0,182.0,9674.0,0.0,1610.0
2016,36,0,0,935.0,9552.0,516.0,1693.0
2016,37,0,0,0.0,14282.0,659.0,1706.0
2016,38,0,0,163.0,8781.0,664.0,1713.0
2016,39,0,0,466.0,16456.0,3302.0,1619.0
2016,40,0,0,313.0,20092.0,3086.0,1753.0
2016,41,0,0,730.0,26148.0,5126.0,1749.0
2016,42,5,0,872.0,22463.0,5368.0,1542.0
2016,43,7,0,1095.0,17868.0,2859.0,1603.0
2016,44,3,1,630.0,17740.0,2434.0,1631.0
2016,45,0,1,1965.0,23531.0,3139.0,1531.0
2016,46,0,0,614.0,28350.0,5520.0,1763.0
2016,47,0,0,2061.0,25467.0,2829.0,1674.0
2016,48,0,0,1928.0,22610.0,5551.0,1648.0
2016,49,0,0,2460.0,23181.0,17111.0,1715.0
2016,50,2,0,1635.0,24816.0,21606.0,1827.0
2016,51,7,1,1742.0,21814.0,21758.0,1670.0
2016,52,6,0,909.0,20434.0,29536.0,1463.0
2016,53,3,1,,,,
2017,1,1,0,1491.0,21324.0,54693.0,1725.0
2017,2,0,0,2202.0,23232.0,47728.0,1752.0
2017,3,0,0,1643.0,23873.0,40843.0,1692.0
2017,4,0,0,1821.0,17790.0,41048.0,1867.0
2017,5,2,0,1385.0,19117.0,24982.0,1706.0
2017,6,7,0,481.0,12928.0,10028.0,1490.0
2017,7,7,0,2876.0,12861.0,5754.0,1455.0
2017,8,0,0,5928.0,14972.0,6963.0,1554.0
2017,9,0,0,1721.0,22870.0,1515.0,1568.0
2017,10,0,0,1202.0,20739.0,1861.0,1627.0
2017,11,0,0,5549.0,16858.0,425.0,1557.0
2017,12,0,0,3047.0,13314.0,459.0,1614.0
2017,13,2,0,3631.0,8092.0,1198.0,1660.0
2017,14,7,0,5133.0,8749.0,270.0,1631.0
2017,15,7,0,1793.0,9637.0,0.0,1457.0
